level,cost_stone_ore,cost_rola,cost_refining_stone
100,9280,18560
101,27840,18750
102,46590,18930
103,65520,19120
104,84640,19300
105,103940,19490
106,123430,19670
107,143100,19860
108,162960,20040
109,183000,20230
110,203230,20410
111,223640,20600
112,244240,20780
113,265020,20970
114,285990,21150
115,307140,21340
116,328480,21520
117,350000,21710
118,371710,21890
119,393600,22080
120,415680,22260
121,437940,22450
122,460390,22630
123,483020,22820
124,505840,23000
125,528840,23190
126,552030,23370
127,575400,23560
128,598960,23740
129,622700,23930
